"slug","name","category_slugs","profile"
"constellation","星座","astronomy","星座是指天上一群在天球上投影的位置相近的恒星的组合。不同的文明和历史时期对星座的划分可能不同。现代星座大多由古希腊传统星座演化而来，由国际天文学联合会把全天精确划分为八十八星座。"
"context","Context","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?context"
"conundrum","跟随指示谜题","puzzles",""
"coordinate","坐标","mathematics",""
"coral","珊瑚","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?coral"
"correlation","相关度","mathematics",""
"crossword","纵横字谜","puzzles","纵横解谜是一个文字解谜游戏，通常在报纸或杂志上出现。玩家需要通过填入字母来解开一个由方格组成的网格，以形成一个或多个单词。每个方格都有字母或数字，玩家需要使用这些字母或数字来填写正确的单词。纵横解谜游戏通常有多个难度级别，从初级到高级，难度逐渐增加。完成一个纵横解谜游戏需要玩家具备广泛的词汇量、拼写知识和逻辑推理能力。"
"dancing-man","跳舞小人密码","other-cipher","跳舞小人密码是一种基于舞蹈动作的加密方式，它将一系列舞蹈动作按照特定的规则排列，形成一个密码。跳舞小人密码的原理是将每个舞蹈动作映射到一个特定的字母或数字，然后通过在跳舞小人密码表上查找相应的动作来解密或加密信息。"
"date-a-live","约会大作战","comic","《约会大作战》是一部改编自橘公司同名轻小说作品的电视动画，讲述了主人公五河士道和精灵们的战斗故事。"
"decathlon","十项全能","athletic-item","十项全能的十项运动指的是：100米跑、1500米跑、110米跨栏、跳远、铅球、跳高、400米跑、铁饼、撑竿跳高、标枪。比赛成绩是按照国际田径联合会制定的专门田径运动全能评分表，将各个单项成绩所得的评分加起来计算的，总分多者为优胜。"
"detective-comics","侦探漫画","comic","侦探漫画（Detective Comics）是一套由DC漫画公司（Detective Comics缩写为DC）每月发行的美国漫画书，因其在第27期中创造了经典超级英雄——蝙蝠侠（Batman）而著名。"
"determinant","行列式","mathematics","行列式在数学中是一个函数，其定义域为det的矩阵A，取值为一个标量，写作det(A)或 | A |。这个标量可以是实数、复数或其它的数值。无论是在线性代数、多项式理论，还是在微积分学中（比如说换元积分法中），行列式作为基本的数学工具，都有着重要的应用。"
"dialect","方言","language","方言是民族文化的显著特征，是当地传统文化传承和发扬的重要载体。"
"dice","骰子","misc","骰子是一种游戏用具或赌具，通常由骨头、木头等制成，表面刻有一到六的数字，常用于麻将、棋牌类游戏等活动。在骰子游戏中，玩家通常会掷骰子以确定游戏的结果或行动的规则。"
"domain-name","域名","misc","域名是由一串用点分隔的字符组成的互联网上某一台计算机或计算机组的名称，用于在数据传输时标识计算机的电子方位。"
"drop-quote","字符坠落","puzzles","“字符坠落”是一种写作技巧，经常在报纸和其他印刷媒体上使用，以突出一个特别重要或值得注意的引用或句子。这种技术包括从文本中放置引号的那一行开始引用，然后在下一行继续引用，通常缩进。这种视觉效果有助于引起人们对引用的关注并强调其重要性。"
"einstein-puzzle","爱因斯坦谜题","puzzles",""
"emoji","Emoji","misc","Emoji是一种表情符号，常用于电子通讯和社交媒体中，用以表达情绪或状态。Emoji由一系列图像或字符组成，通常与文字一起使用，以提供更丰富和直观的表达方式。"
"english-word-riddle","英语字谜","foreign-language",""
"evangelion","新世纪福音战士","comic","《新世纪福音战士》是由庵野秀明执导的日本动画，于1995年10月4日至1996年3月27日在日本东京电视系播出，全26集。这部动画是庵野秀明根据自己的同名漫画改编的，讲述了一个关于人类、机器人和外星生物的故事，探索了人类存在的意义和价值。动画采用了许多创新的技巧和手法，如3D电脑动画和立体声效果，以及独特的心理描写手法，使观众深入了解角色的内心世界。"
"famous-book","名著","literature-and-history",""
"fictional-languages","虚构语言","language","虚构语言是指在文学、电影、游戏等虚构作品中创造出来的语言，通常是为了创造一个完全由作者掌控的世界或者增强作品的沉浸感。"
"fillomino","码牌","riddle","一种纸笔谜题，规则参见https://puzz.link/rules.html?fillomino"
"five-elements","五行","literature-and-history","五行，也叫五行学说，是认识世界的基本方式，五行的意义包含借着阴阳演变过程的五种基本动态：金（代表敛聚）、木（代表曲直）、水（代表浸润）、火（代表炎热）、土（代表生化）。中国哲学家用五行理论来说明世界万物的形成及其相互关系。"
"five-stroke","五笔编码","other-cipher","五笔字型完全依据笔画和字形特征对汉字进行编码，是典型的形码输入法。"
"flower-letter-wind","花信风","misc","在气象学中，“花信风”指的是花开时吹过的风，意即带有开花音讯的风候。宋徐俯诗云：“一百五日寒食雨，二十四番花信风。”
而在植物学中，“花信”又称“花信风”，特指花开时吹过的风，由于花开是有季节性的，而春夏秋冬各个季节的“花信”也有所不同。花信有：梅花、山茶、水仙、杜鹃、垂丝海棠、木兰、木笔、棣棠、丁香、桃花、李花、樱花、蔷薇、含笑、栀子、茉莉、牡丹、桐花、麦花、蛇床花等。"
"food-drink-local","饮食习惯","misc","人们对食品和饮品的偏好。它不仅包括对食物种类的选择，还涉及到饮食习惯和饮食方式。饮食习惯通常受到地域、文化、气候和个人信仰等多种因素的影响。"
"foreign-language-cycle","外语循环","foreign-language",""
"foreign-language-integration","外语综合","foreign-language",""
"four-corner","四角号码","other-cipher","四角号码，汉语词典常用检字方法之一，用最多5个阿拉伯数字来对汉字进行归类。"
"four-images","四象","literature-and-history","指天空中东南西北四大星区。我国古代把天空的恒星划分成为“三垣”和“四象”七大星区。所谓的“垣”就是“城墙”的意思。“三垣”是“紫微垣”，象征皇宫，“太微垣”象征行政机构，“天市垣”象征繁华街市。这三垣环绕着北极星呈三角状排列。在“三垣”外围分布着“四象”：“东苍龙、南朱雀、西白虎、北玄武”。"
"function","函数","mathematics",""
"fungal-name","菌类名称","misc","菌类是一个非常广泛的分类，包括了许多不同种类的微生物。"
"futoshiki","不等式","riddle","一种纸笔谜题，规则参见 https://en.wikipedia.org/wiki/Futoshiki"
"galaxies","星系","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?tentaisho"
"genshin-impact","原神","online-game","《原神》是由米哈游自研的一款开放世界冒险RPG。在这广阔的世界中，玩家可以踏遍七国，邂逅性格各异、能力独特的同伴，与他们一同对抗强敌，踏上寻回血亲之路，也可以不带目的地漫游，沉浸在充满生机的自然和文明中，让冒险故事自然展开。"
"geometry","几何","mathematics",""
"gobang","五子棋","chess-and-card","五子棋是一种两人对弈的纯策略型棋类游戏，通常使用黑白两色的棋子在棋盘直线与横线的交叉点上进行博弈。先形成五子连线者获胜。五子棋在全国智力运动会等竞技活动中被列为正式竞技项目之一，是一种易学易懂、老少皆宜的棋类游戏。"
"guo-dao-code","国道编号","geography","国道的编号由国道标识符“G”和一位或两位数字组成。"
"guo-jia-biao-zhun","国家标准","misc","由国家标准化主管机构批准发布，对全国经济、技术发展有重大意义，且在全国范围内统一的标准。国家标准是在全国范围内统一的技术要求，由国务院标准化行政主管部门编制计划，协调项目分工，组织制定（含修订），统一审批、编号、发布。"
"hashi","数桥","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?hashikake"
"heavenly-stems-and-earthly-branches","天干地支","literature-and-history","简称为干支，源自中国远古时代对天象的观测。十干是指阏逢、旃蒙、柔兆、强圉、著雍、屠维、上章、重光、玄黓、昭阳。十二支是指困敦、赤奋若、摄提格、单阏、执徐、大荒落、敦牂、协洽、涒滩、作噩、阉茂、大渊献。
简化后的天干地支：“甲、乙、丙、丁、戊、己、庚、辛、壬、癸”称为十天干，“子、丑、寅、卯、辰、巳、午、未、申、酉、戌、亥”称为十二地支。
十天干和十二地支依次相配，组成六十个基本单位，两者按固定的顺序相互配合，组成了干支纪元法。天干地支的发明影响深远，依旧在使用天干地支，用于历法、术数、计算、命名等各方面。"
"hexadecimal","十六进制","decimal","十六进制（简写为hex或下标16）是一种基数为16的计数系统，是一种逢16进1的进位制。通常用数字0、1、2、3、4、5、6、7、8、9和字母A、B、C、D、E、F（a、b、c、d、e、f）表示，其中:A~F表示10~15，这些称作十六进制数字。"
"hiddle","谜兜","puzzles",""
"hitori","数一","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?hitori"
"honor-of-kings","王者荣耀","online-game","《王者荣耀》是腾讯公司推出的一款多人在线战斗竞技类手机游戏。该游戏于2015年11月26日正式上线，以竞技对战为主要玩法，玩家之间以5v5进行对战，通过匹配、组队、排名等方式进行竞争和协作，从而提升自己的段位和实力。"
"houbunsha","芳文社","comic","株式会社芳文社，是一家位于东京都文京区的日本出版社。公司总部位于水道桥站和东京巨蛋城市之间。"
"hsl","HSL","graphic-processing","HSL是一种颜色编码系统，它使用色调（Hue）、饱和度（Saturation）和亮度（Lightness）三个参数来表示颜色。"
"huo-che-hao","列车车次","geography","为了区分不同方向的列车而规定的编号。"
"idiom-and-colloquialism","成语 & 俗语","chinese",""
"inductive-features","归纳特征","special","归纳特征是指从已知事件中提取出共性和特点，然后将这些共性和特点应用到其他相关事件中，从而推导出其他事件的性质和特征。归纳特征是一种重要的思维方法，可以帮助我们从具体事例中总结出一般规律，从而更好地理解和预测事物的行为。"
"interactive-puzzle","互动谜题","misc","互动谜题是需要通过邮件或站内信等方式向工作人员发送一些信息得到答案的谜题"
"international-chess","国际象棋","chess-and-card","国际象棋是一种二人对弈的智力游戏，英文为chess（意即象棋），中文为区别于中国象棋而冠以“国际”二字。棋盘为正方形，纵横各八格，共六十四方格，黑白（深色与浅色）相间，棋子分黑白（深浅）两色，共三十二枚，每方各有一王、一后、双车、双象、双马和八兵。不同棋子走法不同，以把对方的王“将死”为胜。"
"international-code-flags","国际信号旗","other-cipher","国际信号旗是一种船只间的旗帜沟通系统，让船只快速清晰地表明自船的意图。国际信号旗是国际通用的、专供舰船之间或舰岸之间互相通信联络用的信号旗，共有4种、40面，包括26面字母旗（长方形或燕尾形）、10面数字旗（梯形）、3面代用旗（三角形）、1面回答旗（梯形）。"
"international-system-of-units","国际单位制","physics","国际单位制（法语：Système International d'Unités 符号：SI），源自公制或米制，旧称“万国公制”，是现时世界上最普遍采用的标准度量衡单位系统，采用十进制进位系统。是18世纪末科学家的努力，最早于法国大革命时期的1799年被法国作为度量衡单位。国际单位制是在公制基础上发展起来的单位制，于1960年第十一届国际计量大会通过，推荐各国采用，其国际简称为SI。"
"ios-icon","iOS图标","application","iOS图标是苹果公司为其移动操作系统iOS设计的系统图标，用于表示应用程序、文件、文件夹等。这些图标具有简洁、直观和易于辨识的特点，能够帮助用户快速找到所需的内容。"
"ipad-keyboard","iPad键盘","other-cipher",""
"isbn-code","ISBN书号","misc","ISBN是国际标准书号（International Standard Book Number）的简称，ISBN书号即ISBN编码。
一个ISBN对应一个图书识别码，可以用来识别一本书。ISBN由10个数字组成，分为四个部分，分别是国家代码、出版者代码、书名代码和校验码。国家代码由1-3位数字组成，中国为978，出版者代码由4-7位数字组成，表示出版社的代号，书名代码由8-9位数字组成，表示书籍的代号，校验码由10位数字组成，用于校验ISBN的正确性。
ISBN书号在出版业中应用广泛，是图书出版的重要标识之一。通过ISBN书号，可以方便地检索和识别书籍，有助于出版物的发行和销售。同时，ISBN书号也是评价一本书的重要指标之一，对于出版社而言，获得一个好的ISBN书号意味着其出版物得到了一定的认可和肯定。"
"iso-standard","ISO标准","misc","由国际标准化组织（International Organization for Standardization，ISO）制定的标准。"
"isomerism-character","异构文字","language","异构文字是指在任何情况下音与义都相同，而在构件、构件数量、构件功能等方面起码有一项存在差别的一组字。这种差异使得异构字在记录汉语的功能上虽然相同，但在书写记录言语作品时，不论在什么语境下都可以互相置换。"
"japanese","日语","language","日语（英语：Japanese，日语：日本語，日语假名：にほんご），又称日本语，为日本国的官方语言。"
"japanese-puzzle","日谜","puzzles",""
"jigsaw","拼图","solider","拼图是一种广受欢迎的智力游戏，玩家需要根据小图片的图案选择和确定合适的位置，最终拼成一张完整的、颇具艺术性和观赏性的大图。拼图游戏变化多端，难度不一，分为单面拼图、双面拼图、立体拼图等多种类型。"
"jump-horse","跳马","athletic-item","跳马是竞技体操项目，由用木马训练骑术演变而来。男子跳马长160厘米，为纵马，比赛时要做用手臂支撑一下的跳跃动作。女子跳马为横马，长120厘米，高120厘米。"
"kanto-expand","康托展开","other-cipher","康托展开是一个全排列到一个自然数的双射，常用于构建哈希表时的空间压缩。 康托展开的实质是计算当前排列在所有由小到大全排列中的顺序，因此是可逆的。"
"korean","韩语","language","韩语（韩文：한국어，英语：Korean），又称韩国语，是朝鲜半岛（又称韩半岛）的原生语言和韩国的官方语言。 韩国语语言属系一般划归为语系未定的孤立语言。"
"kurochute","Kurochute","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?kurochute"
"kurodoko","田鼠挖洞","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?kurodoko"
"labyrinth","迷宫","riddle","一种纸笔谜题，规则是从入口走到出口"
"latex","LaTeX","misc","LaTeX（有时写作LATEX）是一种基于文本的排版系统，广泛用于学术出版，特别是数学、物理、计算机科学和工程领域。它由美国数学家Donald Knuth在20世纪80年代早期开发，主要用于制作高质量的打印文档。"
"league-of-legends","英雄联盟","online-game","《英雄联盟》（League of Legends，简称LOL）是一款由美国拳头游戏（Riot Games）开发、中国大陆地区腾讯游戏代理运营的一款英雄对战MOBA竞技网游。在游戏中有数百个英雄供玩家选择，每个英雄都有各自不同的定位和技能，玩家需要利用自己的策略和技巧来与对手进行战斗。"
"levinstein-distance","莱文斯坦距离","misc","莱文斯坦距离（Levenshtein Distance）也称编辑距离，是指将一个字符串变成另一个字符串所需的最少编辑次数（插入、删除或替换一个字符）。"
"license-plate","车牌","misc","车牌，俗称牌照，也指车辆号牌，是分别悬挂在车子前后的板材，通常使用的材质是铝、铁皮、塑料或纸质，在上面刻印车子的登记号码、登记地区或其他的相关信息。"
"life-game","生命游戏","mathematics","生命游戏，也被称为康威生命游戏，是一种零玩家游戏，由英国数学家约翰·何顿·康威在1970年发明。生命游戏是一个经典的二维元胞自动机，其规则简单，模拟生命演化和秩序的关系。"
"linear-feedback-displacement-register","线性反馈位移寄存器","mathematics","线性反馈位移寄存器（Linear Feedback Shift Register，LFSR）是一种简单的硬件序列生成器，它产生一串二进制数字作为输出。这些数字是通过从寄存器中右移位并使用特定的布尔函数进行反馈来生成的。"
"lissajous-graph","李萨如图形","mathematics","李萨如图形（Lissajous figure）是指两个互相垂直的简谐振动合成的封闭图形。其形成方法是将两个圆斜着放，在两个圆上任取两点，将这两点向右上角做垂线，交于一点。然后将这两个点在圆上运动，点也随之运动，点运动的轨迹形成李萨如图形。"
"listen-music-recognition","听歌识曲","music","听歌识曲是一种利用人工智能技术识别音乐曲目的方法。该技术通过分析音乐的旋律、节奏、和声等特征，与已有的音乐数据库进行比对，从而确定音乐的名称、歌手等信息。"
"lits","LITS","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?lits"
"logic-tui-li","逻辑推理","reasoning","逻辑推理是指根据已知条件或前提，通过推理、演绎等方法得出结论或推论的思维方式。逻辑推理是一种非常重要的思维工具，被广泛应用于各个领域，如法律、科学、数学等。"
"love-death-robot","爱，死亡和机器人","movie","《爱，死亡和机器人》是一部由Netflix出品的动画短片集，每一集都是独立的故事，主题涵盖了多个领域，包括科幻、恐怖、喜剧和幻想等。该剧集由18个故事组成，每个故事都围绕一个主题展开，如爱情、死亡、机器人等。"
"lyrics","歌词","music",""
"magic-shuffle","魔术洗牌","misc","魔术洗牌是一种特殊的洗牌技巧，通常用于扑克牌魔术中，以展示出神奇的效果。在魔术中，洗牌的目的是为了将牌洗乱，以达到随机化的效果。而魔术师则使用特殊的手法，使洗牌过程更具观赏性和神秘感。"
"magic-tower","魔塔","other-game","一类固定数值RPG游戏，需要玩家运用策略和智慧进行挑战。游戏中有属性攻击、防御、生命、金币、经验等设定，玩家需要通过不断爬塔、消灭怪物来获得宝石和其他道具，并需要保证自己不死。游戏难度较高，需要玩家不断思考和调整策略。在游戏中，玩家可以探索多个房间，解决各种谜题和挑战，最终到达塔顶并击败最终BOSS。"
"mahjong","麻将","table-game","麻将，四人骨牌博戏，流行于华人文化圈中，不同地区的游戏规则稍有不同。"
"malisu-wen-xue","玛丽苏文学","misc","玛丽苏文学是一种虚构、夸大、自我陶醉的文学类型，通常以自我为中心，过度美化主角的形象和性格，让主角在故事中拥有超凡的能力、智慧、财富和美貌等特质，以迎合读者的幻想和喜好。"
"mangled-clues","破碎线索","puzzles",""
"map","地图","geography","谜题需要在地图上进行标记，或是一些和地图有关的习惯。"
